Academic Concept (EN),Academic Concept (AR),Concept URL (EN),Concept URL (AR),Subcategory,Reference Title,Reference URL,Citation (EN),Citation (AR)
"Startup Ecosystems: Venture Capital, Incubators, and the Innovation Economy",أنظمة الشركات الناشئة: رأس المال المخاطر، الحاضنات، واقتصاد الابتكار.,https://smarticle.tech/en/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,https://smarticle.tech/ar/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,Entrepreneurship,Open Labs and Innovation Management,https://openlibrary.org/works/OL28024985W,"Open Labs and Innovation Management. by Valérie Mérindol, David W. Versailles. (2022). — Taylor & Francis Group. ISBN: 9781000776348",Open Labs and Innovation Management. بقلم Valérie Mérindol، David W. Versailles. (2022). — Taylor & Francis Group. ردمك: 9781000776348
"Startup Ecosystems: Venture Capital, Incubators, and the Innovation Economy",أنظمة الشركات الناشئة: رأس المال المخاطر، الحاضنات، واقتصاد الابتكار.,https://smarticle.tech/en/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,https://smarticle.tech/ar/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,Entrepreneurship,Chinese Universities in the National Innovation System,https://openlibrary.org/works/OL25316929W,"Chinese Universities in the National Innovation System. by Yi Gaofeng, Venni V. Krishna, Xinpei Zhang. (2021). — Taylor & Francis Group. ISBN: 1000424618",Chinese Universities in the National Innovation System. بقلم Yi Gaofeng، Venni V. Krishna، Xinpei Zhang. (2021). — Taylor & Francis Group. ردمك: 1000424618
"Startup Ecosystems: Venture Capital, Incubators, and the Innovation Economy",أنظمة الشركات الناشئة: رأس المال المخاطر، الحاضنات، واقتصاد الابتكار.,https://smarticle.tech/en/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,https://smarticle.tech/ar/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,Entrepreneurship,Innovation in Africa,https://openlibrary.org/works/OL25258691W,Innovation in Africa. by Deseye Umurhohwo. (2020). — Taylor & Francis Group. ISBN: 9781000327304,Innovation in Africa. بقلم Deseye Umurhohwo. (2020). — Taylor & Francis Group. ردمك: 9781000327304
"Startup Ecosystems: Venture Capital, Incubators, and the Innovation Economy",أنظمة الشركات الناشئة: رأس المال المخاطر، الحاضنات، واقتصاد الابتكار.,https://smarticle.tech/en/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,https://smarticle.tech/ar/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,Entrepreneurship,Social Entrepreneurship and Social Innovation,https://openlibrary.org/works/OL25743720W,"Social Entrepreneurship and Social Innovation. by Mario Biggeri, Enrico Testi, Marco Belluci. (2018). — Taylor & Francis Group. ISBN: 1351239015",Social Entrepreneurship and Social Innovation. بقلم Mario Biggeri، Enrico Testi، Marco Belluci. (2018). — Taylor & Francis Group. ردمك: 1351239015
"Startup Ecosystems: Venture Capital, Incubators, and the Innovation Economy",أنظمة الشركات الناشئة: رأس المال المخاطر، الحاضنات، واقتصاد الابتكار.,https://smarticle.tech/en/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,https://smarticle.tech/ar/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,Entrepreneurship,Handbook of Research on Entrepreneurial Ecosystems and Social Dynamics in a Globalized World,https://openlibrary.org/works/OL27391923W,Handbook of Research on Entrepreneurial Ecosystems and Social Dynamics in a Globalized World. by Luisa Carvalho. (2017). — IGI Global. ISBN: 9781522535270,Handbook of Research on Entrepreneurial Ecosystems and Social Dynamics in a Globalized World. بقلم Luisa Carvalho. (2017). — IGI Global. ردمك: 9781522535270
"Startup Ecosystems: Venture Capital, Incubators, and the Innovation Economy",أنظمة الشركات الناشئة: رأس المال المخاطر، الحاضنات، واقتصاد الابتكار.,https://smarticle.tech/en/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,https://smarticle.tech/ar/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,Entrepreneurship,Software ecosystems,https://openlibrary.org/works/OL23272672W,"Software ecosystems. by Slinger Jansen, Michael A. Cusumano, Sjaak Brinkkemper. (2013). — Elgar Publishing, Incorporated, Edward. ISBN: 1781955638","Software ecosystems. بقلم Slinger Jansen، Michael A. Cusumano، Sjaak Brinkkemper. (2013). — Elgar Publishing, Incorporated, Edward. ردمك: 1781955638"
"Startup Ecosystems: Venture Capital, Incubators, and the Innovation Economy",أنظمة الشركات الناشئة: رأس المال المخاطر، الحاضنات، واقتصاد الابتكار.,https://smarticle.tech/en/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,https://smarticle.tech/ar/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,Entrepreneurship,"Handbook of Research on Techno-Entrepreneurship, Third Edition",https://openlibrary.org/works/OL25785309W,"Handbook of Research on Techno-Entrepreneurship, Third Edition. by François Thérin, Francesco P. Appio, Hyungseok Yoon. (2019). — Elgar Publishing Limited, Edward. ISBN: 9781786439062","Handbook of Research on Techno-Entrepreneurship, Third Edition. بقلم François Thérin، Francesco P. Appio، Hyungseok Yoon. (2019). — Elgar Publishing Limited, Edward. ردمك: 9781786439062"
"Startup Ecosystems: Venture Capital, Incubators, and the Innovation Economy",أنظمة الشركات الناشئة: رأس المال المخاطر، الحاضنات، واقتصاد الابتكار.,https://smarticle.tech/en/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,https://smarticle.tech/ar/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,Entrepreneurship,Cases in Entrepreneurship,https://openlibrary.org/works/OL8433206M,"Cases in Entrepreneurship. by Unknown Author. (2005). — Sage Publications, Inc. ISBN: 9781412909761","Cases in Entrepreneurship. بقلم مؤلف غير معروف. (2005). — Sage Publications, Inc. ردمك: 9781412909761"
"Startup Ecosystems: Venture Capital, Incubators, and the Innovation Economy",أنظمة الشركات الناشئة: رأس المال المخاطر، الحاضنات، واقتصاد الابتكار.,https://smarticle.tech/en/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,https://smarticle.tech/ar/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,Entrepreneurship,Venture Capital and Startup Agglomeration,https://doi.org/10.31235/osf.io/8tpux,"Chen, Jun; Ewens, Michael. ""Venture Capital and Startup Agglomeration"". crossref, 2021.","تشن، جون؛ إيفينز، مايكل. ""رأس المال المغامر والتجمعات الناشئة"". كروسريف، 2021."
"Innovation Management: Disruptive Innovation, R&D Strategy, and Open Innovation",إدارة الابتكار: الابتكار التخريبي، استراتيجية البحث والتطوير، والابتكار المفتوح.,https://smarticle.tech/en/article/innovation-management-disruptive-innovation-r-d-strategy-and-open-innovatio-202605130636,https://smarticle.tech/ar/article/innovation-management-disruptive-innovation-r-d-strategy-and-open-innovatio-202605130636,Entrepreneurship,The Prince,https://archive.org/details/machiavelli00machuoft,The Prince. by Niccolò Machiavelli. (1515). — 1st World Library - Literary Society. ISBN: 9781582873268,The Prince. بقلم Niccolò Machiavelli. (1515). — 1st World Library - Literary Society. ردمك: 9781582873268
