Academic Concept,Concept URL,Subcategory,Reference Title,Reference URL,Citation
Software Architecture and Design Patterns,https://smarticle.tech/en/article/software-architecture-and-design-patterns-202605121215,Programming,Patterns,https://archive.org/details/patternsserviceo00redb,Patterns. by IBM Redbooks. (2002). — International Technical Support Organization. ISBN: 9780738495910
Software Architecture and Design Patterns,https://smarticle.tech/en/article/software-architecture-and-design-patterns-202605121215,Programming,Patterns of Enterprise Application Architecture,https://openlibrary.org/works/OL463952W,Patterns of Enterprise Application Architecture. by Martin Fowler. (2002). — Pearsonn. ISBN: 9788131794029
Software Architecture and Design Patterns,https://smarticle.tech/en/article/software-architecture-and-design-patterns-202605121215,Programming,Introduction to Software Architecture,https://openlibrary.org/works/OL34029102W,"Introduction to Software Architecture. by Adrian Ostrowski, Piotr Gaczkowski. (2022). — Packt Publishing, Limited. ISBN: 9781837635337"
Software Architecture and Design Patterns,https://smarticle.tech/en/article/software-architecture-and-design-patterns-202605121215,Programming,Software modeling and design,https://openlibrary.org/works/OL19902765W,Software modeling and design. by Hassan Gomaa. (2010). — Cambridge University Press. ISBN: 1139040669
Software Architecture and Design Patterns,https://smarticle.tech/en/article/software-architecture-and-design-patterns-202605121215,Programming,Software Architecture Design Patterns in Java,https://archive.org/details/softwarearchitec00kuch_302,"Software Architecture Design Patterns in Java. by Partha Kuchana. (2004). — Auerbach Publishers, Incorporated. ISBN: 0203496213"
Software Architecture and Design Patterns,https://smarticle.tech/en/article/software-architecture-and-design-patterns-202605121215,Programming,EJB design patterns,https://archive.org/details/ejbdesignpattern00mari,"EJB design patterns. by Floyd Marinescu. (2002). — Wiley & Sons, Incorporated, John. ISBN: 0470342498"
Software Architecture and Design Patterns,https://smarticle.tech/en/article/software-architecture-and-design-patterns-202605121215,Programming,Tool-Based Software Engineering Education for Software Design Patterns and Software Architecture Patterns - a Systematic Literature Review,https://doi.org/10.1145/3593663.3593670,"Eigler, Tobias, Florian Huber, and Georg Hagel. ""Tool-Based Software Engineering Education for Software Design Patterns and Software Architecture Patterns - a Systematic Literature Review"". crossref, 2023."
Software Architecture and Design Patterns,https://smarticle.tech/en/article/software-architecture-and-design-patterns-202605121215,Programming,Frameworks and Patterns for Object Oriented Design,https://doi.org/10.1007/978-1-4471-0961-7_21,"Hunt, John. ""Frameworks and Patterns for Object Oriented Design"". crossref, 1997."
Software Architecture and Design Patterns,https://smarticle.tech/en/article/software-architecture-and-design-patterns-202605121215,Programming,Reverse Engineering Low-Level Design Patterns From Object-Oriented Code.,https://doi.org/10.31390/gradschool_disstheses.6163,"Shrivastava, Chandra. ""Reverse Engineering Low-Level Design Patterns From Object-Oriented Code"". crossref, 2021."
Software Architecture and Design Patterns,https://smarticle.tech/en/article/software-architecture-and-design-patterns-202605121215,Programming,Meta patterns — A means for capturing the essentials of reusable object-oriented design,https://doi.org/10.1007/bfb0052181,"Pree, Wolfgang. ""Meta patterns — A means for capturing the essentials of reusable object-oriented design"". crossref, 1995."
"Compiler Design: Lexing, Parsing, and Code Generation",https://smarticle.tech/en/article/compiler-design-lexing-parsing-and-code-generation-202605121224,Programming,Evaluation of Novel Approaches to Software Engineering,https://openlibrary.org/works/OL19848676W,Evaluation of Novel Approaches to Software Engineering. by Leszek A. Maciaszek. (2011). — Springer International Publishing AG. ISBN: 3642233910
"Compiler Design: Lexing, Parsing, and Code Generation",https://smarticle.tech/en/article/compiler-design-lexing-parsing-and-code-generation-202605121224,Programming,Reachability Problems,https://archive.org/details/reachabilityprob0000rpwo,"Reachability Problems. by Parosh Aziz Abdulla, Igor Potapov. (2010). — Springer London, Limited. ISBN: 9783030002497"
"Compiler Design: Lexing, Parsing, and Code Generation",https://smarticle.tech/en/article/compiler-design-lexing-parsing-and-code-generation-202605121224,Programming,An Interactive Tutoring System for Learning Language Processing and Compiler Design,https://doi.org/10.1145/3341525.3393969,"Rafael del Vado Vírseda. ""An Interactive Tutoring System for Learning Language Processing and Compiler Design"". semantic_scholar_foundational, 2020."
"Compiler Design: Lexing, Parsing, and Code Generation",https://smarticle.tech/en/article/compiler-design-lexing-parsing-and-code-generation-202605121224,Programming,Compiler Design for recognizing different Programming Languages,https://doi.org/10.1109/ICCCNT61001.2024.10724115,"C. Sharma, B. M. Reddy, D. Swetchana, N. Panda. ""Compiler Design for recognizing different Programming Languages"". semantic_scholar_foundational, 2024."
"Compiler Design: Lexing, Parsing, and Code Generation",https://smarticle.tech/en/article/compiler-design-lexing-parsing-and-code-generation-202605121224,Programming,Encouraging Compiler Optimization Practice for Undergraduate Students through Competition,https://doi.org/10.1145/3430665.3456354,"Yu Zhang et al. ""Encouraging Compiler Optimization Practice for Undergraduate Students through Competition"". *semantic_scholar_foundational*, 2021."
"Compiler Design: Lexing, Parsing, and Code Generation",https://smarticle.tech/en/article/compiler-design-lexing-parsing-and-code-generation-202605121224,Programming,VkFFT and beyond - a platform for runtime GPU code generation,https://doi.org/10.1145/3585341.3585357,"Dmitrii Tolmachev. ""VkFFT and beyond - a platform for runtime GPU code generation"". semantic_scholar_foundational, 2023."
"Compiler Design: Lexing, Parsing, and Code Generation",https://smarticle.tech/en/article/compiler-design-lexing-parsing-and-code-generation-202605121224,Programming,A Systematic Literature Review of Lexical Analyzer Implementation Techniques in Compiler Design,https://doi.org/10.47992/ijaeml.2581.7000.0087,"V. Pai T., A. Jayanthila Devi, P. S. Aithal. ""A Systematic Literature Review of Lexical Analyzer Implementation Techniques in Compiler Design"". semantic_scholar_foundational, 2020."
"Compiler Design: Lexing, Parsing, and Code Generation",https://smarticle.tech/en/article/compiler-design-lexing-parsing-and-code-generation-202605121224,Programming,The New Compiler Stack: A Survey on the Synergy of LLMs and Compilers,https://arxiv.org/abs/2601.02045,"Shuoming Zhang, Jiacheng Zhao, Qiucheng Yu, et al. ""The New Compiler Stack: A Survey on the Synergy of LLMs and Compilers"". semantic_scholar_foundational, 2026."
"Compiler Design: Lexing, Parsing, and Code Generation",https://smarticle.tech/en/article/compiler-design-lexing-parsing-and-code-generation-202605121224,Programming,DESIGN OF A TRAINING COMPILER FOR INCREASING THE EFFICIENCY OF LANGUAGE PROCESSORS LEARNING,https://doi.org/10.12753/2066-026x-21-077,"Dimitar Z. Dimitrov, I. Penev. ""DESIGN OF A TRAINING COMPILER FOR INCREASING THE EFFICIENCY OF LANGUAGE PROCESSORS LEARNING"". semantic_scholar_foundational, 2021."
"Object-Oriented Programming: Principles, Patterns, and Paradigm Critique",https://smarticle.tech/en/article/object-oriented-programming-principles-patterns-and-paradigm-critique-202605121232,Programming,Head First design patterns,https://archive.org/details/headfirstshejimo0000unse,"Head First design patterns. by Eric Freeman, Elisabeth Freeman, Kathy Sierra. (2004). — O'Reilly. ISBN: 9789867794529"
"Object-Oriented Programming: Principles, Patterns, and Paradigm Critique",https://smarticle.tech/en/article/object-oriented-programming-principles-patterns-and-paradigm-critique-202605121232,Programming,Design Patterns,https://archive.org/details/isbn_9787111095071,"Design Patterns. by Erich Gamma, John Vlissides, Richard Helm. (1995). — AW. ISBN: 3826697006"
"Object-Oriented Programming: Principles, Patterns, and Paradigm Critique",https://smarticle.tech/en/article/object-oriented-programming-principles-patterns-and-paradigm-critique-202605121232,Programming,"Agile Software Development, Principles, Patterns, and Practices",https://archive.org/details/agilesoftwaredev00robe,"Agile Software Development, Principles, Patterns, and Practices. by Robert C. Martin. (2002). — Prentice Hall. ISBN: 1292025948"
"Object-Oriented Programming: Principles, Patterns, and Paradigm Critique",https://smarticle.tech/en/article/object-oriented-programming-principles-patterns-and-paradigm-critique-202605121232,Programming,"Agile Principles, Patterns, and Practices in C#",https://openlibrary.org/works/OL15180507W,"Agile Principles, Patterns, and Practices in C#. by Robert C. Martin, Micah Martin. (2006). — Pearson Education, Limited. ISBN: 0131857258"
"Object-Oriented Programming: Principles, Patterns, and Paradigm Critique",https://smarticle.tech/en/article/object-oriented-programming-principles-patterns-and-paradigm-critique-202605121232,Programming,Python 3 object oriented programming,https://openlibrary.org/works/OL17517253W,"Python 3 object oriented programming. by Dusty Phillips. (2010). — Packt Publishing, Limited. ISBN: 9781849511261"
"Object-Oriented Programming: Principles, Patterns, and Paradigm Critique",https://smarticle.tech/en/article/object-oriented-programming-principles-patterns-and-paradigm-critique-202605121232,Programming,Designing with Objects,https://openlibrary.org/works/OL21547075W,"Designing with Objects. by Avinash C. Kak. (2014). — Wiley & Sons, Incorporated, John. ISBN: 9781118581209"
"Object-Oriented Programming: Principles, Patterns, and Paradigm Critique",https://smarticle.tech/en/article/object-oriented-programming-principles-patterns-and-paradigm-critique-202605121232,Programming,Object-oriented software development using Java,https://archive.org/details/objectorientedso0000jiax,Object-oriented software development using Java. by Xiaoping Jia. (1999). — Addison-Wesley. ISBN: 0321210735
"Object-Oriented Programming: Principles, Patterns, and Paradigm Critique",https://smarticle.tech/en/article/object-oriented-programming-principles-patterns-and-paradigm-critique-202605121232,Programming,Object-oriented programming versus abstract data types,https://doi.org/10.1007/bfb0019443,"Cook, William R. ""Object-oriented programming versus abstract data types"". crossref, 1991."
"Modern Web Architecture: Client-Server Models, CDNs, and Progressive Web Apps",https://smarticle.tech/en/article/modern-web-architecture-client-server-models-cdns-and-progressive-web-apps-202605150649,Web Development,Resourceoriented Architecture Patterns For Webs Of Data,https://archive.org/details/resourceoriented0000slet,Resourceoriented Architecture Patterns For Webs Of Data. by Brian Sletten. (2013). — Springer International Publishing AG. ISBN: 9783031794469
"Modern Web Architecture: Client-Server Models, CDNs, and Progressive Web Apps",https://smarticle.tech/en/article/modern-web-architecture-client-server-models-cdns-and-progressive-web-apps-202605150649,Web Development,Web application architecture,https://archive.org/details/webapplicationar0000shkl,"Web application architecture. by Leon Shklar, Richard Rosen. (2003). — John Wiley. ISBN: 9780471486565"
"Modern Web Architecture: Client-Server Models, CDNs, and Progressive Web Apps",https://smarticle.tech/en/article/modern-web-architecture-client-server-models-cdns-and-progressive-web-apps-202605150649,Web Development,"Advances in Computers, Volume 49 (Advances in Computers)",https://archive.org/details/webtechnology00bsma,"Advances in Computers, Volume 49 (Advances in Computers). by Marvin V. Zelkowitz, Marshall C. Yovits. (1995). — Academic Press. ISBN: 9780080526652"
"Modern Web Architecture: Client-Server Models, CDNs, and Progressive Web Apps",https://smarticle.tech/en/article/modern-web-architecture-client-server-models-cdns-and-progressive-web-apps-202605150649,Web Development,Executing SOA,https://archive.org/details/executingsoaprac0000unse,"Executing SOA. by Norbert Bieberstein, Robert G. Laird, Keith Jones. (2008). — Prentice Hall PTR. ISBN: 9780137149780"
"Modern Web Architecture: Client-Server Models, CDNs, and Progressive Web Apps",https://smarticle.tech/en/article/modern-web-architecture-client-server-models-cdns-and-progressive-web-apps-202605150649,Web Development,Next Generation SOA,https://archive.org/details/nextgenerationso0000erlt,"Next Generation SOA. by Thomas Erl, Pethuru Chelliah, Clive Gee. (2014). — Pearson Education, Limited. ISBN: 9780133885897"
"Modern Web Architecture: Client-Server Models, CDNs, and Progressive Web Apps",https://smarticle.tech/en/article/modern-web-architecture-client-server-models-cdns-and-progressive-web-apps-202605150649,Web Development,A Comprehensive Review of Progressive Web Apps: Bridging the Gap Between Web and Native Experiences,https://doi.org/10.21275/sr24517172948,"Mani Shankar Srinivas Lingolu, Manoj Kumar Dobbala. ""A Comprehensive Review of Progressive Web Apps: Bridging the Gap Between Web and Native Experiences"". crossref, 2022."
"Modern Web Architecture: Client-Server Models, CDNs, and Progressive Web Apps",https://smarticle.tech/en/article/modern-web-architecture-client-server-models-cdns-and-progressive-web-apps-202605150649,Web Development,Progressive Web Apps (PWAs): Enhancing User Experience through Modern Web Development,https://doi.org/10.21275/ms241022095359,"Cherukuri, Bangar Raju. ""Progressive Web Apps (PWAs): Enhancing User Experience through Modern Web Development"". crossref, 2024."
