المفهوم الأكاديمي,رابط المفهوم على سمارتيكل,التخصص الفرعي,عنوان المرجع الأكاديمي,رابط المرجع المباشر,التوثيق المنسق
الجبر التجريدي ونظرية الزمر,https://smarticle.tech/ar/article/abstract-algebra-and-group-theory-202605120359,Mathematics,Modern algebra,https://archive.org/details/modernalgebraint0000durb_u7f2,Modern algebra. بقلم John R. Durbin. (1978). — Wiley. ردمك: 0471433357
الجبر التجريدي ونظرية الزمر,https://smarticle.tech/ar/article/abstract-algebra-and-group-theory-202605120359,Mathematics,Moderne Algebra,https://archive.org/details/algebra01waer,Moderne Algebra. بقلم Bartel Leendert van der Waerden. (1930). — UNKNO. ردمك: 9780387974255
الجبر التجريدي ونظرية الزمر,https://smarticle.tech/ar/article/abstract-algebra-and-group-theory-202605120359,Mathematics,A Survey of Modern Algebra,https://archive.org/details/surveyofmodernal0000birk,A Survey of Modern Algebra. بقلم Garrett Birkhoff، Saunders Mac Lane. (1941). — Macmillan. ردمك: 0023100702
الجبر التجريدي ونظرية الزمر,https://smarticle.tech/ar/article/abstract-algebra-and-group-theory-202605120359,Mathematics,Algebra in Action,https://archive.org/details/algebrainactionc0000shah,Algebra in Action. بقلم Shahriar Shahriari. (2017). — American Mathematical Society. ردمك: 1470428490
الجبر التجريدي ونظرية الزمر,https://smarticle.tech/ar/article/abstract-algebra-and-group-theory-202605120359,Mathematics,"ELEMENTARY CONCEPTS OF ABSTRACT ALGEBRAS1)1)An exposition of abstract algebra may be found in P. M. Cohn, Universal algebra, New York 1965, or in G. G",https://doi.org/10.1016/b978-0-7204-2067-8.50018-0,"راسيوا، هيلينا. ""المفاهيم الابتدائية للجبرات المجردة"". كروسريف، 1973."
الجبر التجريدي ونظرية الزمر,https://smarticle.tech/ar/article/abstract-algebra-and-group-theory-202605120359,Mathematics,Emmy Noether and the Advent of Abstract Algebra,https://doi.org/10.1007/978-0-8176-4685-1_6,"كلاينر، إسرائيل. ""إيمي نويثر وقدوم الجبر التجريدي"". كروسريف، 2007."
التفاضل والتكامل والتحليل الحقيقي,https://smarticle.tech/ar/article/calculus-and-real-analysis-202605120409,Mathematics,Philosophiae naturalis principia mathematica,https://archive.org/details/philosophiaenat00newt,Philosophiae naturalis principia mathematica. بقلم Sir Isaac Newton. (1687). — apud Guil. & Joh. Innys. ردمك: 9781888009002
التفاضل والتكامل والتحليل الحقيقي,https://smarticle.tech/ar/article/calculus-and-real-analysis-202605120409,Mathematics,A course of modern analysis,https://archive.org/details/courseofmodernan00whituoft,A course of modern analysis. بقلم E. T. Whittaker، G. N. Watson. (1902). — University press. ردمك: 9780342601172
التفاضل والتكامل والتحليل الحقيقي,https://smarticle.tech/ar/article/calculus-and-real-analysis-202605120409,Mathematics,Calculus,https://archive.org/details/calculus0000apos,Calculus. بقلم Tom M. Apostol. (1961). — John Wiley & Sons Inc. ردمك: 9780536000064
التفاضل والتكامل والتحليل الحقيقي,https://smarticle.tech/ar/article/calculus-and-real-analysis-202605120409,Mathematics,Introductory Mathematical Analysis,https://archive.org/details/introductorymath0000haeu_v9a2,Introductory Mathematical Analysis. بقلم Ernest F. Haeussler، Richard S. Paul. (1973). — Longman Higher Education. ردمك: 0139798668
التفاضل والتكامل والتحليل الحقيقي,https://smarticle.tech/ar/article/calculus-and-real-analysis-202605120409,Mathematics,The Mathematical Analysis of Logic: Being an Essay Towards a Calculus of Deductive Reasoning,https://www.gutenberg.org/ebooks/36884,"The Mathematical Analysis of Logic: Being an Essay Towards a Calculus of Deductive Reasoning. بقلم Boole, George. — Project Gutenberg"
