المفهوم الأكاديمي,رابط المفهوم على سمارتيكل,التخصص الفرعي,عنوان المرجع الأكاديمي,رابط المرجع المباشر,التوثيق المنسق
الإمبراطورية الرومانية: الصعود، الحكم، والسقوط,https://smarticle.tech/ar/article/the-roman-empire-rise-governance-and-fall-202605120538,Ancient Civilizations,Roman Stoicism: being lectures on the history of the Stoic philosophy with special reference to its development within the Roman Empire,https://www.gutenberg.org/ebooks/64488,"Roman Stoicism: being lectures on the history of the Stoic philosophy with special reference to its development within the Roman Empire. بقلم Arnold, Edward Vernon. — Project Gutenberg"
الإمبراطورية الرومانية: الصعود، الحكم، والسقوط,https://smarticle.tech/ar/article/the-roman-empire-rise-governance-and-fall-202605120538,Ancient Civilizations,History of the Decline and Fall of the Roman Empire — Volume 2,https://www.gutenberg.org/ebooks/732,"History of the Decline and Fall of the Roman Empire — Volume 2. بقلم Gibbon, Edward. — Project Gutenberg"
الإمبراطورية الرومانية: الصعود، الحكم، والسقوط,https://smarticle.tech/ar/article/the-roman-empire-rise-governance-and-fall-202605120538,Ancient Civilizations,History of the Decline and Fall of the Roman Empire — Volume 3,https://www.gutenberg.org/ebooks/733,"History of the Decline and Fall of the Roman Empire — Volume 3. بقلم Gibbon, Edward. — Project Gutenberg"
الإمبراطورية الرومانية: الصعود، الحكم، والسقوط,https://smarticle.tech/ar/article/the-roman-empire-rise-governance-and-fall-202605120538,Ancient Civilizations,History of the Decline and Fall of the Roman Empire — Volume 1,https://www.gutenberg.org/ebooks/731,"History of the Decline and Fall of the Roman Empire — Volume 1. بقلم Gibbon, Edward. — Project Gutenberg"
الإمبراطورية الرومانية: الصعود، الحكم، والسقوط,https://smarticle.tech/ar/article/the-roman-empire-rise-governance-and-fall-202605120538,Ancient Civilizations,History of the Decline and Fall of the Roman Empire — Volume 6,https://www.gutenberg.org/ebooks/736,"History of the Decline and Fall of the Roman Empire — Volume 6. بقلم Gibbon, Edward. — Project Gutenberg"
الحضارة المصرية القديمة: المجتمع والدين والإرث,https://smarticle.tech/ar/article/ancient-egyptian-civilization-society-religion-and-legacy-202605120549,Ancient Civilizations,Bible,https://archive.org/details/holybiblesoarran01unse,Bible. بقلم Bible. (1200). — E.F. Backus. ردمك: 0564069019
الحضارة المصرية القديمة: المجتمع والدين والإرث,https://smarticle.tech/ar/article/ancient-egyptian-civilization-society-religion-and-legacy-202605120549,Ancient Civilizations,The ancient Egyptians,https://archive.org/details/ancientegyptians0000kami_s9w6,The ancient Egyptians. بقلم Jill Kamil. (1976). — Amer Univ in Cairo Pr. ردمك: 9774240510
الحضارة المصرية القديمة: المجتمع والدين والإرث,https://smarticle.tech/ar/article/ancient-egyptian-civilization-society-religion-and-legacy-202605120549,Ancient Civilizations,An Introduction to Ancient Egypt,https://archive.org/details/introductiontoan0000jame_u6r2,An Introduction to Ancient Egypt. بقلم T. G. H. James. (1979). — Farrar Straus Giroux. ردمك: 0809590840
الحضارة المصرية القديمة: المجتمع والدين والإرث,https://smarticle.tech/ar/article/ancient-egyptian-civilization-society-religion-and-legacy-202605120549,Ancient Civilizations,The Egyptians,https://openlibrary.org/works/OL5713802W,The Egyptians. بقلم Robert Morkot. (2004). — Taylor & Francis Group. ردمك: 0203486536
الحضارة المصرية القديمة: المجتمع والدين والإرث,https://smarticle.tech/ar/article/ancient-egyptian-civilization-society-religion-and-legacy-202605120549,Ancient Civilizations,The Egyptian Book of the dead,https://archive.org/details/egyptianbookofde0000unse,"The Egyptian Book of the dead. بقلم Raymond Oliver Faulkner، Goelet, Ogden Jr، Eva Von Dassow. (1994). — Chronicle Books. ردمك: 0811807924"
الحضارة المصرية القديمة: المجتمع والدين والإرث,https://smarticle.tech/ar/article/ancient-egyptian-civilization-society-religion-and-legacy-202605120549,Ancient Civilizations,Life in Ancient Egypt,https://openlibrary.org/works/OL9676723W,Life in Ancient Egypt. بقلم Katriana Hazell. (1989). — National Museums of Scotland. ردمك: 0948636173
الحضارة المصرية القديمة: المجتمع والدين والإرث,https://smarticle.tech/ar/article/ancient-egyptian-civilization-society-religion-and-legacy-202605120549,Ancient Civilizations,Avaris: The Capital of the Hyksos,https://openlibrary.org/works/OL2233508W,Avaris: The Capital of the Hyksos. بقلم Manfred Bietak. (1995). — Published by British Museum Press. ردمك: 9780714109688
الحضارة المصرية القديمة: المجتمع والدين والإرث,https://smarticle.tech/ar/article/ancient-egyptian-civilization-society-religion-and-legacy-202605120549,Ancient Civilizations,"Egyptian Grammar, or General Principles of Egyptian Sacred Writing",https://openlibrary.org/works/OL39713274W,"Egyptian Grammar, or General Principles of Egyptian Sacred Writing. بقلم Jean Champollion، Jr., David, G. Stewart. (2013). — CreateSpace Independent Publishing Platform. ردمك: 1484914252"
الحضارة المصرية القديمة: المجتمع والدين والإرث,https://smarticle.tech/ar/article/ancient-egyptian-civilization-society-religion-and-legacy-202605120549,Ancient Civilizations,"THE NILE AND EGYPTIAN CIVILIZATION. By Alexander Moret. Kegan Paul. 1927. pp. 478, and 24 plates. 25s.",https://doi.org/10.1017/s0003598x00001794,"فلندرز بيتري. ""النيل والحضارة المصرية"". كيجان بول، 1927."
الحضارة المصرية القديمة: المجتمع والدين والإرث,https://smarticle.tech/ar/article/ancient-egyptian-civilization-society-religion-and-legacy-202605120549,Ancient Civilizations,"Religion, Pharaonic Egypt",https://doi.org/10.1002/9781444338386.wbeah15344,"ديفيد إيه. واربرتون وساليمة إكرام. ""الدين، مصر الفرعونية"". *كروسريف*، 2012."
المجتمعات الرافدية: سومر، أكاد، وبابل,https://smarticle.tech/ar/article/mesopotamian-societies-sumer-akkad-and-babylon-202605120601,Ancient Civilizations,The face of the ancient Orient,https://archive.org/details/faceofancientori0000mosc_y8y6,The face of the ancient Orient. بقلم Sabatino Moscati. (1960). — Routledge & K. Paul. ردمك: 9780486419527
المجتمعات الرافدية: سومر، أكاد، وبابل,https://smarticle.tech/ar/article/mesopotamian-societies-sumer-akkad-and-babylon-202605120601,Ancient Civilizations,Origins,https://openlibrary.org/works/OL2767981W,Origins. بقلم William W. Hallo. (1996). — E.J. Brill. ردمك: 9780391041509
المجتمعات الرافدية: سومر، أكاد، وبابل,https://smarticle.tech/ar/article/mesopotamian-societies-sumer-akkad-and-babylon-202605120601,Ancient Civilizations,Riches Hidden in Secret Places,https://openlibrary.org/works/OL4979712W,"Riches Hidden in Secret Places. بقلم I. Tzvi Abusch. (2002). — Eisenbrauns, Incorporated. ردمك: 1575065339"
المجتمعات الرافدية: سومر، أكاد، وبابل,https://smarticle.tech/ar/article/mesopotamian-societies-sumer-akkad-and-babylon-202605120601,Ancient Civilizations,Writing and ancient Near Eastern society,https://openlibrary.org/works/OL16955311W,Writing and ancient Near Eastern society. بقلم A. R. Millard، Piotr Bienkowski، C. Mee. (2005). — T&T Clark. ردمك: 9780567026910
المجتمعات الرافدية: سومر، أكاد، وبابل,https://smarticle.tech/ar/article/mesopotamian-societies-sumer-akkad-and-babylon-202605120601,Ancient Civilizations,Letters to the King of Mari,https://openlibrary.org/works/OL6738560W,"Letters to the King of Mari. بقلم Wolfgang Heimpel. (2003). — Eisenbrauns, Incorporated. ردمك: 9781575065441"
