Academic Concept,Concept URL,Subcategory,Reference Title,Reference URL,Citation
"Islamic Theology (Aqeedah): Creed, Divine Attributes, and Doctrinal Schools",https://smarticle.tech/en/article/islamic-theology-aqeedah-creed-divine-attributes-and-doctrinal-schools-202605130555,Islam,The bezels of wisdom,https://archive.org/details/bezelsofwisdom00ibna,The bezels of wisdom. by Ibn al-Arabi. (1966). — Intishārāt Baydār. ISBN: 9789649080079
"Islamic Theology (Aqeedah): Creed, Divine Attributes, and Doctrinal Schools",https://smarticle.tech/en/article/islamic-theology-aqeedah-creed-divine-attributes-and-doctrinal-schools-202605130555,Islam,Kitāb al-lumaʻ fī al-radd ʻalá ahl al-zaygh wa-al-bidaʻ,https://openlibrary.org/works/OL18439040W,Kitāb al-lumaʻ fī al-radd ʻalá ahl al-zaygh wa-al-bidaʻ. by Abū al-Ḥasan ʻAlī ibn Ismāʻīl Ashʻarī. (1952). — Dār Lubnān lil-Ṭibāʻah wa-al-Nashr. ISBN: 9789981592650
"Islamic Theology (Aqeedah): Creed, Divine Attributes, and Doctrinal Schools",https://smarticle.tech/en/article/islamic-theology-aqeedah-creed-divine-attributes-and-doctrinal-schools-202605130555,Islam,Sharḥ al-ʻAqāʼid al-Nasafīyah,https://openlibrary.org/works/OL63306W,Sharḥ al-ʻAqāʼid al-Nasafīyah. by Masʻūd ibn ʻUmar Taftāzānī. (1931). — Maktabat al-Kullīyāt al-Azharīyah
"Islamic Theology (Aqeedah): Creed, Divine Attributes, and Doctrinal Schools",https://smarticle.tech/en/article/islamic-theology-aqeedah-creed-divine-attributes-and-doctrinal-schools-202605130555,Islam,Ghāyat al-marām fī ʻilm al-kalām,https://openlibrary.org/works/OL1614109W,Ghāyat al-marām fī ʻilm al-kalām. by ʻAlī ibn Abī ʻAlī Āmidī. (1971). — [publisher not identified]. ISBN: 2745143115
"Islamic Theology (Aqeedah): Creed, Divine Attributes, and Doctrinal Schools",https://smarticle.tech/en/article/islamic-theology-aqeedah-creed-divine-attributes-and-doctrinal-schools-202605130555,Islam,Introduction à la théologie musulmane,https://openlibrary.org/works/OL1357079W,Introduction à la théologie musulmane. by Louis Gardet. (1948). — Dār al-ʻIlm lil-Malāyīn
"Islamic Theology (Aqeedah): Creed, Divine Attributes, and Doctrinal Schools",https://smarticle.tech/en/article/islamic-theology-aqeedah-creed-divine-attributes-and-doctrinal-schools-202605130555,Islam,Risālat al-tawḥīd,https://openlibrary.org/works/OL10746522W,Risālat al-tawḥīd. by Muḥammad ʻAbduh. (1938). — Intishārāt-i Saqqiz (Muḥammadī)
"Islamic Theology (Aqeedah): Creed, Divine Attributes, and Doctrinal Schools",https://smarticle.tech/en/article/islamic-theology-aqeedah-creed-divine-attributes-and-doctrinal-schools-202605130555,Islam,Iljām al-ʻawāmm ʻan ʻilm al-kalām,https://openlibrary.org/works/OL32427210W,Iljām al-ʻawāmm ʻan ʻilm al-kalām. by al-Ghazzālī. (1870). — [publisher not identified]
"Islamic Theology (Aqeedah): Creed, Divine Attributes, and Doctrinal Schools",https://smarticle.tech/en/article/islamic-theology-aqeedah-creed-divine-attributes-and-doctrinal-schools-202605130555,Islam,Naqḍ Kalām al-muftarīn ʻalá al-Ḥanābilah al-Salafīyīn,https://openlibrary.org/works/OL11146882W,Naqḍ Kalām al-muftarīn ʻalá al-Ḥanābilah al-Salafīyīn. by Aḥmad ibn Ḥajar Āl Bū Ṭāmī Āl Ibn ʻAlī. (1980). — Maktabat Ibn Taymīyah
"Islamic Theology (Aqeedah): Creed, Divine Attributes, and Doctrinal Schools",https://smarticle.tech/en/article/islamic-theology-aqeedah-creed-divine-attributes-and-doctrinal-schools-202605130555,Islam,Islam,https://openlibrary.org/works/OL21696427W,Islam. by Roberto Tottoli. (2020). — Taylor & Francis Group. ISBN: 0367491095
"Islamic Jurisprudence (Fiqh): Sources of Law, Legal Schools, and Ijtihad",https://smarticle.tech/en/article/islamic-jurisprudence-fiqh-sources-of-law-legal-schools-and-ijtihad-202605130605,Islam,"Development of Muslim Theology, Jurisprudence, and Constitutional Theory",https://www.gutenberg.org/ebooks/59135,"Development of Muslim Theology, Jurisprudence, and Constitutional Theory. by MacDonald, Duncan Black. — Project Gutenberg"
"Islamic Jurisprudence (Fiqh): Sources of Law, Legal Schools, and Ijtihad",https://smarticle.tech/en/article/islamic-jurisprudence-fiqh-sources-of-law-legal-schools-and-ijtihad-202605130605,Islam,Appropriate Usuli Sources in Building the Jurisprudence of Muslim Minorities,https://doi.org/10.31221/osf.io/by4nm,"International Journal of Fiqh and Usul al-Fiqh Studies. ""Appropriate Usuli Sources in Building the Jurisprudence of Muslim Minorities"". crossref, 2018."
"Islamic Jurisprudence (Fiqh): Sources of Law, Legal Schools, and Ijtihad",https://smarticle.tech/en/article/islamic-jurisprudence-fiqh-sources-of-law-legal-schools-and-ijtihad-202605130605,Islam,"Sources of Moral Obligation to non-Muslims in the ""Jurisprudence of Muslim Minorities"" (Fiqh al-aqalliyyāt) Discourse",https://doi.org/10.1163/156851908x413757,"Andrew March. ""Sources of Moral Obligation to non-Muslims in the ""Jurisprudence of Muslim Minorities"" (Fiqh al-aqalliyyāt) Discourse"". crossref, 2009."
"Islamic Jurisprudence (Fiqh): Sources of Law, Legal Schools, and Ijtihad",https://smarticle.tech/en/article/islamic-jurisprudence-fiqh-sources-of-law-legal-schools-and-ijtihad-202605130605,Islam,THE CONCEPT AND SOURCES OF THE SCIENCE OF FIQH,https://doi.org/10.37547/ijhps/volume03issue12-04,"Avazova Shaira Tukhtamratovna. ""THE CONCEPT AND SOURCES OF THE SCIENCE OF FIQH"". crossref, 2023."
"Islamic Jurisprudence (Fiqh): Sources of Law, Legal Schools, and Ijtihad",https://smarticle.tech/en/article/islamic-jurisprudence-fiqh-sources-of-law-legal-schools-and-ijtihad-202605130605,Islam,The Concept of Taghyir in Al-Bazdawi’s Usul al-Fiqh and Its Relevance to Contract Law in the Compilation of Islamic Economic Law in Indonesia,https://doi.org/10.31436/ijfus.v9i1.362,"Enang Hidayat. ""The Concept of Taghyir in Al-Bazdawi’s Usul al-Fiqh and Its Relevance to Contract Law in the Compilation of Islamic Economic Law in Indonesia"". crossref, 2025."
"Islamic Jurisprudence (Fiqh): Sources of Law, Legal Schools, and Ijtihad",https://smarticle.tech/en/article/islamic-jurisprudence-fiqh-sources-of-law-legal-schools-and-ijtihad-202605130605,Islam,New Sources for the History of the Beginnings of Islamic Jurisprudence,https://doi.org/10.1163/9789004491533_005,"Harald Motzki. ""New Sources for the History of the Beginnings of Islamic Jurisprudence"". crossref, 2002."
"Islamic Jurisprudence (Fiqh): Sources of Law, Legal Schools, and Ijtihad",https://smarticle.tech/en/article/islamic-jurisprudence-fiqh-sources-of-law-legal-schools-and-ijtihad-202605130605,Islam,The Beginnings of Islamic Jurisprudence in the Research of the Nineteenth and Twentieth Centuries,https://doi.org/10.1163/9789004491533_004,"Harald Motzki. ""The Beginnings of Islamic Jurisprudence in the Research of the Nineteenth and Twentieth Centuries"". crossref, 2002."
"Islamic Jurisprudence (Fiqh): Sources of Law, Legal Schools, and Ijtihad",https://smarticle.tech/en/article/islamic-jurisprudence-fiqh-sources-of-law-legal-schools-and-ijtihad-202605130605,Islam,4. Islamic Law: Its ‘Sources’ (Uṣūl al-fiqh) and Ijtihād,https://doi.org/10.1515/9783110825800.78,"Islamic Law: Its ‘Sources’ (Uṣūl al-fiqh) and Ijtihād. *crossref*, 1981."
"Islamic Jurisprudence (Fiqh): Sources of Law, Legal Schools, and Ijtihad",https://smarticle.tech/en/article/islamic-jurisprudence-fiqh-sources-of-law-legal-schools-and-ijtihad-202605130605,Islam,The Beginnings of Islamic Jurisprudence,https://doi.org/10.1163/9789004491533_007,"Harald Motzki. ""The Beginnings of Islamic Jurisprudence"". *crossref*, 2002."
"Islamic Jurisprudence (Fiqh): Sources of Law, Legal Schools, and Ijtihad",https://smarticle.tech/en/article/islamic-jurisprudence-fiqh-sources-of-law-legal-schools-and-ijtihad-202605130605,Islam,The Origins of Islamic Jurisprudence,https://doi.org/10.1163/9789004491533,"Harald Motzki. ""The Origins of Islamic Jurisprudence"". crossref, 2002."
"Quranic Sciences and Hadith Methodology: Revelation, Transmission, and Authentication",https://smarticle.tech/en/article/quranic-sciences-and-hadith-methodology-revelation-transmission-and-authent-202605150225,Islam,Ravishʹshināsī-i tārīkhī dar ʻulūm-i Qurʼān va Ḥadīs̲,https://openlibrary.org/works/OL23236117W,Ravishʹshināsī-i tārīkhī dar ʻulūm-i Qurʼān va Ḥadīs̲. by Muḥammad Ḥasan Aḥmadī. (2014). — Intishārāt-i Dānishgāh-i Qum. ISBN: 9648261962
"Quranic Sciences and Hadith Methodology: Revelation, Transmission, and Authentication",https://smarticle.tech/en/article/quranic-sciences-and-hadith-methodology-revelation-transmission-and-authent-202605150225,Islam,Jamʻ al-fawāʾid min Jāmiʻ al-uṣūl wa-Majmaʻ al-zawāʾid,https://openlibrary.org/works/OL4766792W,Jamʻ al-fawāʾid min Jāmiʻ al-uṣūl wa-Majmaʻ al-zawāʾid. by Muḥammad ibn Muḥammad Rūdānī. (1985). — Bank Fayṣal al-Islāmī
"Quranic Sciences and Hadith Methodology: Revelation, Transmission, and Authentication",https://smarticle.tech/en/article/quranic-sciences-and-hadith-methodology-revelation-transmission-and-authent-202605150225,Islam,ʻUyūn muntakhabah min istidrākāt Ibn al-Muẓaffar al-Rāzī ʻalaʹ tafsīr al-Thaʻlabī,https://openlibrary.org/works/OL32322753W,ʻUyūn muntakhabah min istidrākāt Ibn al-Muẓaffar al-Rāzī ʻalaʹ tafsīr al-Thaʻlabī. by ʻAbd Allāh Rajab Mūsá. (2020). — Dār al-Khazānah al-Azharīyah lil-Dirāsāt wa-al-Nashr. ISBN: 9789068756
"Quranic Sciences and Hadith Methodology: Revelation, Transmission, and Authentication",https://smarticle.tech/en/article/quranic-sciences-and-hadith-methodology-revelation-transmission-and-authent-202605150225,Islam,al-Wajīz fī ʻilm al-uṣūl,https://openlibrary.org/works/OL39222384W,al-Wajīz fī ʻilm al-uṣūl. by Muḥammad ʻAbd al-Muʻṭī. (2002). — Dār al-Tawzīʻ wa-al-Nashr al-Islāmīyah. ISBN: 9772653583
"Quranic Sciences and Hadith Methodology: Revelation, Transmission, and Authentication",https://smarticle.tech/en/article/quranic-sciences-and-hadith-methodology-revelation-transmission-and-authent-202605150225,Islam,al-Bayān fī mutashābihāt al-Qurʼān al-karīm bi-ḥāshiyat al-muṣḥaf al-sharīf bi-Riwāyat Ḥafṣ ʻan ʻĀṣim bi-al-rasm al-ʻUthmānī,https://openlibrary.org/works/OL32317967W,al-Bayān fī mutashābihāt al-Qurʼān al-karīm bi-ḥāshiyat al-muṣḥaf al-sharīf bi-Riwāyat Ḥafṣ ʻan ʻĀṣim bi-al-rasm al-ʻUthmānī. by Dawlat Muḥammad Aḥmadī Mūsá ʻImrān. (2018). — Dawlat Muḥammad Aḥmadī Mūsá ʻImrān. ISBN: 9789779052410
"Quranic Sciences and Hadith Methodology: Revelation, Transmission, and Authentication",https://smarticle.tech/en/article/quranic-sciences-and-hadith-methodology-revelation-transmission-and-authent-202605150225,Islam,Uṣūl al-fikr al-tarbawī fī al-Islām,https://openlibrary.org/works/OL4768153W,Uṣūl al-fikr al-tarbawī fī al-Islām. by ʻAbbās Maḥjūb. (1987). — ʻĀlam al-Kutub al-Ḥadīth. ISBN: 9789957466633
"Quranic Sciences and Hadith Methodology: Revelation, Transmission, and Authentication",https://smarticle.tech/en/article/quranic-sciences-and-hadith-methodology-revelation-transmission-and-authent-202605150225,Islam,Muqawwamāt al-dawlah al-Islāmīyah al-ḥadīthah,https://openlibrary.org/works/OL44688794W,Muqawwamāt al-dawlah al-Islāmīyah al-ḥadīthah. by Muḥammad ʻAlī Abū Ḥamdah. (1999)
"Quranic Sciences and Hadith Methodology: Revelation, Transmission, and Authentication",https://smarticle.tech/en/article/quranic-sciences-and-hadith-methodology-revelation-transmission-and-authent-202605150225,Islam,مباحث في طرائق تدريس العلوم الشرعية,https://openlibrary.org/works/OL37003078W,مباحث في طرائق تدريس العلوم الشرعية. by Ḥusām ʻAbd al-Malik ʻAbdalī. (2008). — Dār al-Nahḍah lil-Ṭibāʻah wa-al-Nashr wa-al-Tawzīʻ
"Quranic Sciences and Hadith Methodology: Revelation, Transmission, and Authentication",https://smarticle.tech/en/article/quranic-sciences-and-hadith-methodology-revelation-transmission-and-authent-202605150225,Islam,The Qur’an and Authentication of Hadith,https://doi.org/10.2307/j.ctvkc67mk.7,"Andrew Rippin. ""The Qur’an and Authentication of Hadith"". *crossref*, 2010."
"Quranic Sciences and Hadith Methodology: Revelation, Transmission, and Authentication",https://smarticle.tech/en/article/quranic-sciences-and-hadith-methodology-revelation-transmission-and-authent-202605150225,Islam,Authentication of Hadith Through Sound Reasoning,https://doi.org/10.2307/j.ctvkc67mk.9,"Al-Azami, M. M. ""Authentication of Hadith Through Sound Reasoning"". crossref, 2010."
"Christian Theology: Christology, Trinity, and the Doctrinal Councils",https://smarticle.tech/en/article/christian-theology-christology-trinity-and-the-doctrinal-councils-202605150243,Christianity,The One and the Many,https://openlibrary.org/works/OL22374504W,"The One and the Many. by John D. Zizioulas, Fr. Gregory Edwards, Stamatis Skliris. (2010). — Western American Diocese, Sebastian Press. ISBN: 0971950547"
"Christian Theology: Christology, Trinity, and the Doctrinal Councils",https://smarticle.tech/en/article/christian-theology-christology-trinity-and-the-doctrinal-councils-202605150243,Christianity,Imperial Law or Councils of the Church? Theodosius I and the Imposition of Doctrinal Uniformity,https://doi.org/10.1017/s0424208400003107,"Hunt, E. D. ""Imperial Law or Councils of the Church? Theodosius I and the Imposition of Doctrinal Uniformity"". *crossref*, 2007."
"Christian Theology: Christology, Trinity, and the Doctrinal Councils",https://smarticle.tech/en/article/christian-theology-christology-trinity-and-the-doctrinal-councils-202605150243,Christianity,"The Doctrinal Significance of the Councils of Nicaea, Ephesus, and Chalcedon",https://doi.org/10.1093/oxfordhb/9780199641901.013.49,"The Doctrinal Significance of the Councils of Nicaea, Ephesus, and Chalcedon. ""The Doctrinal Significance of the Councils of Nicaea, Ephesus, and Chalcedon"". Oxford Handbook of Early Christian Studies, 2024."
