Academic Concept,Concept URL,Subcategory,Reference Title,Reference URL,Citation
Primary Care and Family Medicine: Principles of Preventive Health,https://smarticle.tech/en/article/primary-care-and-family-medicine-principles-of-preventive-health-202605121118,Public Health,Oxford Textbook of Primary Medical Care,https://books.google.com/books,Oxford Textbook of Primary Medical Care. by Roger Jones (Prof.). (2005). ISBN: 0198567839
Primary Care and Family Medicine: Principles of Preventive Health,https://smarticle.tech/en/article/primary-care-and-family-medicine-principles-of-preventive-health-202605121118,Public Health,Evolution of Preventive Medicine (Routledge Revivals),https://openlibrary.org/works/OL21296415W,Evolution of Preventive Medicine (Routledge Revivals). by Arthur Newsholme. (2015). — Taylor & Francis Group. ISBN: 9781317442998
Primary Care and Family Medicine: Principles of Preventive Health,https://smarticle.tech/en/article/primary-care-and-family-medicine-principles-of-preventive-health-202605121118,Public Health,"Laws, etc",https://archive.org/details/foodsupplymanual00grearich,"Laws, etc. by Great Britain.. (1691). — Butterworth. ISBN: 9780118041133"
Primary Care and Family Medicine: Principles of Preventive Health,https://smarticle.tech/en/article/primary-care-and-family-medicine-principles-of-preventive-health-202605121118,Public Health,The medical companion,https://archive.org/details/b33287697,The medical companion. by James Ewell. (1816). — Printed for the author
Primary Care and Family Medicine: Principles of Preventive Health,https://smarticle.tech/en/article/primary-care-and-family-medicine-principles-of-preventive-health-202605121118,Public Health,Medical admonitions addressed to families,https://archive.org/details/b28774358_0001,Medical admonitions addressed to families. by James Parkinson. (1799). — Printed for Charles Peirce by N.S. & W. Peirce
Primary Care and Family Medicine: Principles of Preventive Health,https://smarticle.tech/en/article/primary-care-and-family-medicine-principles-of-preventive-health-202605121118,Public Health,Preventive Health Care,https://doi.org/10.1007/978-1-4615-5857-6_15,"Bradford Felker. ""Preventive Health Care"". *crossref*, 1997."
Internal Medicine: Systemic Disease Diagnosis and Management,https://smarticle.tech/en/article/internal-medicine-systemic-disease-diagnosis-and-management-202605121129,Public Health,Mayo Clinic Internal Medicine Concise Textbook,https://books.google.com/books,"Mayo Clinic Internal Medicine Concise Textbook. by Thomas M. Habermann, Amit K. Ghosh. (2007). — CRC Press. ISBN: 9781420067514"
Internal Medicine: Systemic Disease Diagnosis and Management,https://smarticle.tech/en/article/internal-medicine-systemic-disease-diagnosis-and-management-202605121129,Public Health,Sleisenger & Fordtran's gastrointestinal and liver disease,https://archive.org/details/sleisengerfordtr0000unse,"Sleisenger & Fordtran's gastrointestinal and liver disease. by Mark Feldman, Lawrence S. Friedman, Marvin H. Sleisenger. (1996). — Current Medicine. ISBN: 9780721662916"
Internal Medicine: Systemic Disease Diagnosis and Management,https://smarticle.tech/en/article/internal-medicine-systemic-disease-diagnosis-and-management-202605121129,Public Health,Nailfold capillaroscopy in systemic diseases: short overview for internal medicine,https://doi.org/10.2478/rjim-2021-0007,"A. Dima, I. Berza, D. Popescu, M. Pârvu. ""Nailfold capillaroscopy in systemic diseases: short overview for internal medicine"". semantic_scholar_foundational, 2021."
Internal Medicine: Systemic Disease Diagnosis and Management,https://smarticle.tech/en/article/internal-medicine-systemic-disease-diagnosis-and-management-202605121129,Public Health,"[Importance of cognitive disorders in internal medicine: Pathophysiology, diagnosis, management. The example of systemic lupus erythematosus].",https://doi.org/10.1016/j.revmed.2021.08.012,"E. Peter, M. Robert, et al. ""Importance of cognitive disorders in internal medicine: Pathophysiology, diagnosis, management. The example of systemic lupus erythematosus"". Revue de Médecine Interne, 2021."
