Academic Concept,Concept URL,Subcategory,Reference Title,Reference URL,Citation
Plate Tectonics and the Geological Formation of Earth's Continents,https://smarticle.tech/en/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,Continents,Himalaya,https://openlibrary.org/works/OL36175641W,"Himalaya. by Rodolphe Cattin, Jean-Luc Epard. (2023). — Wiley & Sons, Incorporated, John. ISBN: 1394228600"
Plate Tectonics and the Geological Formation of Earth's Continents,https://smarticle.tech/en/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,Continents,Geomechanics and Geodynamics of Rock Masses,https://openlibrary.org/works/OL21345683W,Geomechanics and Geodynamics of Rock Masses. by Vladimir Litvinenko. (2018). — Taylor & Francis Group. ISBN: 0429830041
Plate Tectonics and the Geological Formation of Earth's Continents,https://smarticle.tech/en/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,Continents,Proceedings of the 30th International Geological Congress,https://openlibrary.org/works/OL942035W,"Proceedings of the 30th International Geological Congress. by International Geological Congress (30th 1996 Beijing, China). (1997). — Brill Academic Publishers. ISBN: 9789067642415"
Plate Tectonics and the Geological Formation of Earth's Continents,https://smarticle.tech/en/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,Continents,Earth's dynamic systems,https://archive.org/details/earthsdynamicsys0000hamb,Earth's dynamic systems. by W. Kenneth Hamblin. (1975). — Burgess Pub. Co.. ISBN: 9780808747420
Plate Tectonics and the Geological Formation of Earth's Continents,https://smarticle.tech/en/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,Continents,Introduction to Earth Science,https://openlibrary.org/works/OL34329287W,Introduction to Earth Science. by Michael Anderson. (2011). — Rosen Publishing Group. ISBN: 1283079305
Plate Tectonics and the Geological Formation of Earth's Continents,https://smarticle.tech/en/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,Continents,Continental Drift—The Road to Plate Tectonics,https://doi.org/10.1093/oso/9780195165890.003.0003,"Rogers, John J. W., and M. Santosh. ""Continental Drift—The Road to Plate Tectonics"". crossref, 2004."
Plate Tectonics and the Geological Formation of Earth's Continents,https://smarticle.tech/en/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,Continents,"Contractional theory, continental drift and plate tectonics",https://doi.org/10.1007/978-3-540-76504-2_1,"Frisch, Wolfgang; Meschede, Martin; Blakey, Ronald. ""Contractional theory, continental drift and plate tectonics"". *crossref*, 2010."
Plate Tectonics and the Geological Formation of Earth's Continents,https://smarticle.tech/en/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,Continents,The birth of plate tectonics,https://doi.org/10.1017/cbo9781139095938.009,"Henry R. Frankel. ""The birth of plate tectonics"". crossref, 2012."
Plate Tectonics and the Geological Formation of Earth's Continents,https://smarticle.tech/en/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,Continents,Plate Tectonics and Continental Drift,https://doi.org/10.1016/b978-0-08-028076-9.50013-8,"Condie K.C. ""Plate Tectonics and Continental Drift"". crossref, 1982."
"Physical Geography of Africa: Landscape, Climate Zones, and Bioregions",https://smarticle.tech/en/article/physical-geography-of-africa-landscape-climate-zones-and-bioregions-202605140924,Continents,Universal Geography,https://openlibrary.org/works/OL24374239W,Universal Geography. by Conrad Malte-Brun. (2015). — Franklin Classics. ISBN: 9781343667044
"Physical Geography of Africa: Landscape, Climate Zones, and Bioregions",https://smarticle.tech/en/article/physical-geography-of-africa-landscape-climate-zones-and-bioregions-202605140924,Continents,The encyclopædia of geography,https://archive.org/details/encyclopdiageog00bradgoog,"The encyclopædia of geography. by Murray, Hugh. (1837). — Lea and Blanchard. ISBN: 9780665493836"
"Physical Geography of Africa: Landscape, Climate Zones, and Bioregions",https://smarticle.tech/en/article/physical-geography-of-africa-landscape-climate-zones-and-bioregions-202605140924,Continents,World geography,https://archive.org/details/worldgeography00brad_0,World geography. by John Hodgdon Bradley. (1945). — Ginn
"Physical Geography of Africa: Landscape, Climate Zones, and Bioregions",https://smarticle.tech/en/article/physical-geography-of-africa-landscape-climate-zones-and-bioregions-202605140924,Continents,The Uganda protectorate,https://archive.org/details/ugandaprotectora01john,The Uganda protectorate. by Harry Hamilton Johnston. (1902). — Hutchinson
"Physical Geography of Africa: Landscape, Climate Zones, and Bioregions",https://smarticle.tech/en/article/physical-geography-of-africa-landscape-climate-zones-and-bioregions-202605140924,Continents,"An account of travels into the interior of Southern Africa, in the years 1797 and 1798",https://archive.org/details/accountoftravels01barr,"An account of travels into the interior of Southern Africa, in the years 1797 and 1798. by John Barrow. (1801). — Johnson Reprint"
"Physical Geography of Africa: Landscape, Climate Zones, and Bioregions",https://smarticle.tech/en/article/physical-geography-of-africa-landscape-climate-zones-and-bioregions-202605140924,Continents,South African scenery,https://openlibrary.org/works/OL4594774W,South African scenery. by Lester Charles King. (1942). — Hafner Pub. Co.
"Physical Geography of Africa: Landscape, Climate Zones, and Bioregions",https://smarticle.tech/en/article/physical-geography-of-africa-landscape-climate-zones-and-bioregions-202605140924,Continents,A new Outline Geography of West Africa,https://openlibrary.org/works/OL11325492W,A new Outline Geography of West Africa. by Herbert Oguejiofo Nkemka Oboli. (1978). — Harrap (etc.). ISBN: 9780245532139
"Physical Geography of Africa: Landscape, Climate Zones, and Bioregions",https://smarticle.tech/en/article/physical-geography-of-africa-landscape-climate-zones-and-bioregions-202605140924,Continents,An Introduction to Map Reading for Kenya,https://openlibrary.org/works/OL10199426M,"An Introduction to Map Reading for Kenya. by J.P. Odero, G.E.D. Lewis. (1988). — Evans Brothers - Africa list. ISBN: 9780237509590"
"Physical Geography of Africa: Landscape, Climate Zones, and Bioregions",https://smarticle.tech/en/article/physical-geography-of-africa-landscape-climate-zones-and-bioregions-202605140924,Continents,African Biomes,https://doi.org/10.1093/obo/9780199830060-0112,"Sinclair, Anthony R.E., and Rene L. Beyers. ""African Biomes"". *crossref*, 2014."
"Physical Geography of Africa: Landscape, Climate Zones, and Bioregions",https://smarticle.tech/en/article/physical-geography-of-africa-landscape-climate-zones-and-bioregions-202605140924,Continents,Biomes and Zonobiomes,https://doi.org/10.1007/978-3-642-76268-0_7,"Huggett, Richard John. ""Biomes and Zonobiomes"". crossref, 1991."
"Physical Geography of Asia: Relief, River Systems, and Monsoon Dynamics",https://smarticle.tech/en/article/physical-geography-of-asia-relief-river-systems-and-monsoon-dynamics-202605140931,Continents,Essai politique sur le royaume de la Nouvelle-Espagne,https://archive.org/details/cihm_18544,Essai politique sur le royaume de la Nouvelle-Espagne. by Alexander von Humboldt. (1811). — I. Riley. ISBN: 0665181760
"Physical Geography of Asia: Relief, River Systems, and Monsoon Dynamics",https://smarticle.tech/en/article/physical-geography-of-asia-relief-river-systems-and-monsoon-dynamics-202605140931,Continents,Ansichten der Natur,https://archive.org/details/ansichtendernatu00humb,Ansichten der Natur. by Alexander von Humboldt. (1849). — Editions européennes Erasme. ISBN: 2738800718
"Physical Geography of Asia: Relief, River Systems, and Monsoon Dynamics",https://smarticle.tech/en/article/physical-geography-of-asia-relief-river-systems-and-monsoon-dynamics-202605140931,Continents,Universal Geography,https://openlibrary.org/works/OL24374239W,Universal Geography. by Conrad Malte-Brun. (2015). — Franklin Classics. ISBN: 9781343667044
"Physical Geography of Asia: Relief, River Systems, and Monsoon Dynamics",https://smarticle.tech/en/article/physical-geography-of-asia-relief-river-systems-and-monsoon-dynamics-202605140931,Continents,The encyclopædia of geography,https://archive.org/details/encyclopdiageog00bradgoog,"The encyclopædia of geography. by Murray, Hugh. (1837). — Lea and Blanchard. ISBN: 9780665493836"
"Physical Geography of Asia: Relief, River Systems, and Monsoon Dynamics",https://smarticle.tech/en/article/physical-geography-of-asia-relief-river-systems-and-monsoon-dynamics-202605140931,Continents,The Physical Geography of Southeast Asia,https://doi.org/10.1093/oso/9780199248025.001.0001,"The Physical Geography of Southeast Asia. *Source*, 2019."
"Political Geography: National Borders, Territory, and Sovereignty",https://smarticle.tech/en/article/political-geography-national-borders-territory-and-sovereignty-202605140937,Countries,"Cosmopolitanism, Self-Determination and Territory",https://openlibrary.org/works/OL20673284W,"Cosmopolitanism, Self-Determination and Territory. by Oliviero Angeli. (2015). — Palgrave Macmillan. ISBN: 1137004940"
"Political Geography: National Borders, Territory, and Sovereignty",https://smarticle.tech/en/article/political-geography-national-borders-territory-and-sovereignty-202605140937,Countries,"Borders, nations, and states",https://archive.org/details/bordersnationsst0000unse,"Borders, nations, and states. by Liam O'Dowd, Thomas M. Wilson. (1996). — Avebury. ISBN: 9781859721582"
