Academic Concept (EN),Academic Concept (AR),Concept URL (EN),Concept URL (AR),Subcategory,Reference Title,Reference URL,Citation (EN),Citation (AR)
"The Modern Arabic Novel: Origins, Development, and Major Authors",الرواية العربية الحديثة: الأصول، التطور، والمؤلفون الرئيسيون.,https://smarticle.tech/en/article/the-modern-arabic-novel-origins-development-and-major-authors-202605130525,https://smarticle.tech/ar/article/the-modern-arabic-novel-origins-development-and-major-authors-202605130525,Arabic Literature,السكرية,https://archive.org/details/lejardindupasse0000mahf,السكرية. by نجيب محفوظ. (1962). — American University Press. ISBN: 9788879371810,السكرية. بقلم نجيب محفوظ. (1962). — American University Press. ردمك: 9788879371810
"The Modern Arabic Novel: Origins, Development, and Major Authors",الرواية العربية الحديثة: الأصول، التطور، والمؤلفون الرئيسيون.,https://smarticle.tech/en/article/the-modern-arabic-novel-origins-development-and-major-authors-202605130525,https://smarticle.tech/ar/article/the-modern-arabic-novel-origins-development-and-major-authors-202605130525,Arabic Literature,The genesis of the Moroccan novel in Arabic: a review of the origins of the modern fusion of mature domestic and imported literary forms,https://doi.org/10.1080/13629387.2018.1563542,"Sryfi, Mbarek. ""The genesis of the Moroccan novel in Arabic: a review of the origins of the modern fusion of mature domestic and imported literary forms"". *semantic_scholar_foundational*, 2020.","سريفي، مبارك. ""نشأة الرواية المغربية المكتوبة بالعربية: استعراض لأصول المزج الحديث بين الأشكال الأدبية المحلية المستوردة"". *semantic_scholar_foundational*، 2020."
"The Modern Arabic Novel: Origins, Development, and Major Authors",الرواية العربية الحديثة: الأصول، التطور، والمؤلفون الرئيسيون.,https://smarticle.tech/en/article/the-modern-arabic-novel-origins-development-and-major-authors-202605130525,https://smarticle.tech/ar/article/the-modern-arabic-novel-origins-development-and-major-authors-202605130525,Arabic Literature,"The Origins, Theories, and Linguistic Development of the Qur'an",https://doi.org/10.56566/jki.v2i1.300,"Muhammad Erdy. ""The Origins, Theories, and Linguistic Development of the Qur'an"". semantic_scholar_foundational, 2025.","محمد إردي. ""أصول القرآن ونظرياته وتطوره اللغوي"". *semantic_scholar_foundational*، 2025."
"The Modern Arabic Novel: Origins, Development, and Major Authors",الرواية العربية الحديثة: الأصول، التطور، والمؤلفون الرئيسيون.,https://smarticle.tech/en/article/the-modern-arabic-novel-origins-development-and-major-authors-202605130525,https://smarticle.tech/ar/article/the-modern-arabic-novel-origins-development-and-major-authors-202605130525,Arabic Literature,The art of Naqd: communicating critique in Arabic thought for teacher training in Arabia,https://doi.org/10.1080/13562517.2025.2451028,"Wisam Kh. Abdul-Jabbar. ""The art of Naqd: communicating critique in Arabic thought for teacher training in Arabia"". *semantic_scholar_foundational*, 2025.","وسام خ. عبد الجبار. ""فن النقد: التواصل النقدي في الفكر العربي لتدريب المعلمين في الجزيرة العربية"". *semantic_scholar_foundational*، 2025."
"The Modern Arabic Novel: Origins, Development, and Major Authors",الرواية العربية الحديثة: الأصول، التطور، والمؤلفون الرئيسيون.,https://smarticle.tech/en/article/the-modern-arabic-novel-origins-development-and-major-authors-202605130525,https://smarticle.tech/ar/article/the-modern-arabic-novel-origins-development-and-major-authors-202605130525,Arabic Literature,The SAMER Arabic Text Simplification Corpus,https://arxiv.org/abs/2404.18615,"Bashar Alhafni, Reem Hazim, Juan David Pineros Liberato, M. Al-Khalil, Nizar Habash. ""The SAMER Arabic Text Simplification Corpus"". semantic_scholar_foundational, 2024.","بشار الحفني، ريم حازم، خوان ديفيد بينيروس ليبيراتو، محمد الخليل، نزار حبش. ""مجموعة بيانات تبسيط النصوص العربية SAMER"". *semantic_scholar_foundational*، 2024."
"The Modern Arabic Novel: Origins, Development, and Major Authors",الرواية العربية الحديثة: الأصول، التطور، والمؤلفون الرئيسيون.,https://smarticle.tech/en/article/the-modern-arabic-novel-origins-development-and-major-authors-202605130525,https://smarticle.tech/ar/article/the-modern-arabic-novel-origins-development-and-major-authors-202605130525,Arabic Literature,The History of Arabic Language Teaching Development,https://doi.org/10.26555/insyirah.v7i1.10146,"Muhammad Ajiji Lubis, Hakmi Wahyudi, Diah Ira Utami. ""The History of Arabic Language Teaching Development"". semantic_scholar_foundational, 2024.","محمد عجيجي لوبس، حكمي وحيودي، ديه إيرا أومامي. ""تاريخ تطور تعليم اللغة العربية"". *semantic_scholar_foundational*، 2024."
"The Modern Arabic Novel: Origins, Development, and Major Authors",الرواية العربية الحديثة: الأصول، التطور، والمؤلفون الرئيسيون.,https://smarticle.tech/en/article/the-modern-arabic-novel-origins-development-and-major-authors-202605130525,https://smarticle.tech/ar/article/the-modern-arabic-novel-origins-development-and-major-authors-202605130525,Arabic Literature,البنية الداخلية للمسرحية,https://openlibrary.org/works/OL39442234W,البنية الداخلية للمسرحية. by Majīd Ḥamīd Jubūrī. (2013). — Manshūrāt Ḍifāf. ISBN: 6140109019,البنية الداخلية للمسرحية. بقلم Majīd Ḥamīd Jubūrī. (2013). — Manshūrāt Ḍifāf. ردمك: 6140109019
"Classical Arabic Literary Criticism: Criteria, Schools, and Canon Formation",النقد الأدبي العربي الكلاسيكي: المعايير والمدارس وتشكيل القانون الأدبي.,https://smarticle.tech/en/article/classical-arabic-literary-criticism-criteria-schools-and-canon-formation-202605130534,https://smarticle.tech/ar/article/classical-arabic-literary-criticism-criteria-schools-and-canon-formation-202605130534,Arabic Literature,Poetics,https://archive.org/details/artofpoetry00aris,Poetics. by Aristotle. (1536). — NuVision Publications. ISBN: 1420925989,Poetics. بقلم Aristotle. (1536). — NuVision Publications. ردمك: 1420925989
"Classical Arabic Literary Criticism: Criteria, Schools, and Canon Formation",النقد الأدبي العربي الكلاسيكي: المعايير والمدارس وتشكيل القانون الأدبي.,https://smarticle.tech/en/article/classical-arabic-literary-criticism-criteria-schools-and-canon-formation-202605130534,https://smarticle.tech/ar/article/classical-arabic-literary-criticism-criteria-schools-and-canon-formation-202605130534,Arabic Literature,Arabic Literary Theory,https://doi.org/10.1093/acrefore/9780190201098.013.989,"Harb, Lara. ""Arabic Literary Theory"". *semantic_scholar_foundational*, 2020.","حرب، لارا. ""النظرية الأدبية العربية"". *semantic_scholar_foundational*، 2020."
"Classical Arabic Literary Criticism: Criteria, Schools, and Canon Formation",النقد الأدبي العربي الكلاسيكي: المعايير والمدارس وتشكيل القانون الأدبي.,https://smarticle.tech/en/article/classical-arabic-literary-criticism-criteria-schools-and-canon-formation-202605130534,https://smarticle.tech/ar/article/classical-arabic-literary-criticism-criteria-schools-and-canon-formation-202605130534,Arabic Literature,Exploring Translation Theories and Literary Criticism: Translating Al-Jawahiri's Poem 'O Sir! Inspire me' (in Praise of King Hussein bin Talal of Jord,https://doi.org/10.47012/jjmll.16.1.7,"Ne, Ismail Abdulwahhab. ""Exploring Translation Theories and Literary Criticism: Translating Al-Jawahiri's Poem 'O Sir! Inspire me' (in Praise of King Hussein bin Talal of Jordan) into English"". semantic_scholar_foundational, 2024.","ن، إسماعيل عبد الوهاب. ""استكشاف نظريات الترجمة والنقد الأدبي: ترجمة قصيدة الجواهري 'يا سيدي! ألهمني' (في مدح الملك حسين بن طلال الأردني) إلى الإنجليزية"". *semantic_scholar_foundational*، 2024."
